class,precision,recall,f1,support
0,0.9857578840284842,0.9887755102040816,0.9872643912379011,980
1,0.9929453262786596,0.9920704845814978,0.9925077126487439,1135
2,0.9769452449567724,0.9854651162790697,0.9811866859623734,1032
3,0.977205153617443,0.9762376237623762,0.9767211490837049,1010
4,0.9815762538382804,0.9765784114052953,0.9790709545686574,982
5,0.9841986455981941,0.9775784753363229,0.9808773903262092,892
6,0.9801670146137788,0.9801670146137788,0.9801670146137788,958
7,0.9843444227005871,0.9785992217898832,0.9814634146341462,1028
8,0.976482617586912,0.9804928131416838,0.978483606557377,974
9,0.9713438735177866,0.9742319127849356,0.9727857496288965,1009
